Timestamp,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Trades,TakerBuyBase,TakerBuyQuote,Ignore
2025-02-25 15:00:00,87157.25000000,87781.40000000,86050.99000000,87231.26000000,8048.18646000,1740499199999,699217542.35287170,857340,3744.19027000,325433296.87206780,0
2025-02-25 16:00:00,87231.63000000,87777.00000000,86157.69000000,87460.00000000,4726.16396000,1740502799999,410661348.68447610,522071,2122.98077000,184540113.45138340,0
2025-02-25 17:00:00,87459.99000000,87805.40000000,86831.52000000,87259.99000000,2146.52763000,1740506399999,187448055.12036700,373402,969.03985000,84614475.24944580,0
2025-02-25 18:00:00,87259.99000000,87791.56000000,86918.41000000,87070.07000000,1695.81182000,1740509999999,147973807.59462910,355911,859.02636000,74955186.28193580,0
2025-02-25 19:00:00,87070.07000000,88065.45000000,86508.76000000,87947.25000000,2099.34234000,1740513599999,183046635.27287600,372140,1146.89899000,100076325.54142020,0
2025-02-25 20:00:00,87947.24000000,89013.66000000,87622.64000000,88161.03000000,4017.02160000,1740517199999,354660409.90786530,442290,2212.00728000,195284354.55691700,0
2025-02-25 21:00:00,88161.03000000,88833.33000000,87761.90000000,88821.00000000,1685.53774000,1740520799999,148857777.88107500,238117,954.05654000,84276703.23577270,0
2025-02-25 22:00:00,88821.01000000,89460.17000000,88512.34000000,88807.64000000,1505.50283000,1740524399999,133958966.06868810,193335,836.79347000,74460257.77567260,0
2025-02-25 23:00:00,88807.64000000,89139.75000000,88675.14000000,88680.40000000,1227.76672000,1740527999999,109180713.83777150,147539,618.19844000,54980409.26119980,0
2025-02-26 00:00:00,88680.39000000,88690.00000000,88148.48000000,88150.00000000,1008.55025000,1740531599999,89165282.34556650,152315,426.33518000,37693297.58063090,0
2025-02-26 01:00:00,88150.01000000,88850.07000000,88149.98000000,88705.66000000,859.07406000,1740535199999,75980153.43393370,160293,497.60358000,44015938.91478750,0
2025-02-26 02:00:00,88705.66000000,89198.23000000,88434.78000000,89018.87000000,797.74749000,1740538799999,70830514.96207320,153079,420.06909000,37305130.17123020,0
2025-02-26 03:00:00,89018.86000000,89414.15000000,88886.35000000,88900.00000000,839.97669000,1740542399999,74884820.74611020,169791,408.75846000,36442479.17302010,0
2025-02-26 04:00:00,88900.01000000,89245.29000000,88673.11000000,88693.95000000,899.05159000,1740545999999,80008234.04534190,137137,366.41491000,32607255.67420660,0
2025-02-26 05:00:00,88693.96000000,88890.00000000,88392.45000000,88423.60000000,988.78032000,1740549599999,87708039.93190800,167555,401.27018000,35603282.03855660,0
2025-02-26 06:00:00,88423.59000000,88940.01000000,88422.79000000,88920.18000000,919.32888000,1740553199999,81575705.72763730,139090,499.34023000,44311343.06623460,0
2025-02-26 07:00:00,88920.18000000,89163.39000000,88399.43000000,88720.02000000,1036.33862000,1740556799999,92047791.08500920,144718,444.63839000,39500636.10649550,0
2025-02-26 08:00:00,88720.01000000,88807.80000000,88138.00000000,88484.54000000,1065.37357000,1740560399999,94220594.76754420,174532,570.24589000,50441474.99260120,0
2025-02-26 09:00:00,88484.54000000,89289.67000000,88464.00000000,89115.98000000,1242.78583000,1740563999999,110577816.13490090,144366,813.62581000,72391797.65856990,0
2025-02-26 10:00:00,89115.99000000,89314.45000000,88882.35000000,89262.66000000,896.12405000,1740567599999,79833986.99992140,116305,486.64797000,43369278.55627080,0
2025-02-26 11:00:00,89262.67000000,89270.00000000,88534.55000000,88616.80000000,971.12242000,1740571199999,86366525.08077690,144335,370.39966000,32938882.38820970,0
2025-02-26 12:00:00,88616.80000000,88674.00000000,87616.24000000,87938.81000000,1495.00066000,1740574799999,131836166.92026370,223859,744.12257000,65624087.08961180,0
2025-02-26 13:00:00,87938.81000000,88090.90000000,87031.73000000,87191.99000000,1626.13903000,1740578399999,142520394.55881780,320980,656.02836000,57505862.56819160,0
2025-02-26 14:00:00,87191.99000000,87741.33000000,85418.72000000,87621.22000000,6538.63785000,1740581999999,565298777.94694400,909510,3217.51283000,278386910.72805170,0
2025-02-26 15:00:00,87621.21000000,88530.00000000,87422.00000000,87567.53000000,3566.70518000,1740585599999,313588915.09361270,667155,1899.05227000,166972665.32092250,0
2025-02-26 16:00:00,87567.53000000,87806.62000000,86280.82000000,86805.99000000,2995.10715000,1740589199999,260502782.20620440,602949,1341.49365000,116671497.53842360,0
2025-02-26 17:00:00,86806.00000000,87303.47000000,85687.81000000,86051.33000000,2306.12765000,1740592799999,199586774.83669140,502435,1071.43443000,92748402.20291490,0
2025-02-26 18:00:00,86051.33000000,86498.00000000,83418.00000000,84258.94000000,7003.15035000,1740596399999,593375646.27961930,829718,3061.37181000,259419259.53744230,0
2025-02-26 19:00:00,84258.25000000,85084.64000000,83745.88000000,83856.99000000,5331.27874000,1740599999999,449856940.37957250,616757,3197.48204000,269835274.28494410,0
2025-02-26 20:00:00,83856.98000000,84620.00000000,82256.01000000,84385.89000000,6344.90853000,1740603599999,529229349.61733850,726888,2931.99019000,244720170.95598440,0
2025-02-26 21:00:00,84384.34000000,85131.82000000,83464.00000000,84610.86000000,4334.71538000,1740607199999,365665722.74468020,605913,2184.22048000,184281930.45357100,0
2025-02-26 22:00:00,84611.99000000,85400.00000000,84119.97000000,84433.51000000,2622.32191000,1740610799999,222283947.44028210,406244,1473.83466000,124944264.22494530,0
2025-02-26 23:00:00,84433.50000000,84782.25000000,83918.38000000,84250.09000000,1205.19789000,1740614399999,101485042.35172610,274082,593.29186000,49959727.59317040,0
2025-02-27 00:00:00,84250.09000000,84808.11000000,84026.96000000,84742.39000000,2478.54167000,1740617999999,209323520.54932650,335114,1318.42314000,111370651.21817800,0
2025-02-27 01:00:00,84742.38000000,85466.55000000,84324.01000000,84763.25000000,1558.86472000,1740621599999,132354979.12373130,281558,804.80315000,68341339.98242180,0
2025-02-27 02:00:00,84763.25000000,85214.25000000,84199.46000000,84295.20000000,1689.21881000,1740625199999,142909856.66114280,275588,705.65119000,59727949.47430100,0
2025-02-27 03:00:00,84295.19000000,85342.50000000,84272.91000000,85226.32000000,1178.77310000,1740628799999,100077585.18196760,215029,690.07625000,58580318.03373330,0
2025-02-27 04:00:00,85226.32000000,85369.39000000,84694.29000000,85161.93000000,1354.89632000,1740632399999,115149478.26320910,225383,728.30368000,61900175.39169710,0
2025-02-27 05:00:00,85161.93000000,85944.76000000,85057.67000000,85883.13000000,1433.68123000,1740635999999,122567448.46152370,187366,697.84305000,59678496.50746550,0
2025-02-27 06:00:00,85883.13000000,86737.00000000,85707.64000000,86265.84000000,1364.85224000,1740639599999,117631108.69398090,236128,786.77318000,67811399.58665960,0
2025-02-27 07:00:00,86265.84000000,86600.00000000,86106.26000000,86272.01000000,1336.21438000,1740643199999,115398859.67871240,232063,658.47874000,56878148.01853490,0
2025-02-27 08:00:00,86272.01000000,86447.61000000,85900.00000000,86078.47000000,898.27844000,1740646799999,77362713.95680510,205618,442.59436000,38117898.58123860,0
2025-02-27 09:00:00,86078.47000000,86352.51000000,85846.87000000,86169.81000000,1056.88458000,1740650399999,91060960.24622120,185896,570.44192000,49156914.10945210,0
2025-02-27 10:00:00,86169.81000000,87073.42000000,86026.38000000,87013.46000000,1227.38744000,1740653999999,106230321.05420460,183726,719.95757000,62331795.21896890,0
2025-02-27 11:00:00,87013.47000000,87078.46000000,86389.86000000,86698.60000000,920.03781000,1740657599999,79775741.60785190,197791,455.27217000,39479054.67410740,0
2025-02-27 12:00:00,86698.60000000,86795.90000000,86252.53000000,86330.59000000,997.71723000,1740661199999,86271664.37289380,171818,381.44372000,32986501.10394610,0
2025-02-27 13:00:00,86330.59000000,86769.93000000,85778.98000000,86117.57000000,1960.01107000,1740664799999,169123335.64110250,298445,965.51679000,83316909.68004510,0
2025-02-27 14:00:00,86117.57000000,86411.76000000,84951.51000000,84968.65000000,4500.81704000,1740668399999,386114753.15723770,458107,1553.82107000,133340249.94563050,0
2025-02-27 15:00:00,84969.99000000,86145.52000000,84640.75000000,85500.84000000,4924.24541000,1740671999999,420577447.04843840,520379,1963.64521000,167777049.57118290,0
2025-02-27 16:00:00,85500.84000000,85691.51000000,84355.04000000,84471.69000000,1998.80556000,1740675599999,170040904.86859470,356313,959.70599000,81651208.01351360,0
2025-02-27 17:00:00,84471.70000000,85039.67000000,84355.05000000,84597.00000000,2099.43718000,1740679199999,177568237.60962480,297184,953.54267000,80676760.54629850,0
